customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST1,Male,0,Yes,No,16,Yes,Fiber optic,Month-to-month,Mailed check,74.44,1285.0,No
CUST2,Female,0,No,No,57,Yes,Fiber optic,Two year,Mailed check,3.18,249.0,No
CUST3,Male,1,Yes,Yes,57,Yes,DSL,Month-to-month,Electronic check,20.01,1135.63,No
CUST4,Male,0,No,Yes,56,Yes,Fiber optic,Month-to-month,Electronic check,89.88,5061.7,No
CUST5,Male,1,Yes,Yes,6,Yes,No,One year,Electronic check,95.17,678.35,No
CUST6,Female,0,Yes,No,38,Yes,DSL,One year,Bank transfer,29.52,1122.6,Yes
CUST7,Male,1,Yes,Yes,57,Yes,DSL,Month-to-month,Mailed check,102.98,5788.65,Yes
CUST8,Male,0,Yes,No,55,Yes,Fiber optic,One year,Bank transfer,64.09,3464.66,No
CUST9,Male,0,No,No,14,Yes,DSL,Month-to-month,Electronic check,39.33,641.55,Yes
CUST10,Female,0,Yes,Yes,43,Yes,DSL,Month-to-month,Bank transfer,53.19,2206.05,No
CUST11,Male,0,No,No,11,Yes,Fiber optic,Month-to-month,Credit card,33.32,209.74,No
CUST12,Male,0,Yes,Yes,7,No,DSL,Month-to-month,Electronic check,51.52,330.22,No
CUST13,Male,1,Yes,No,40,Yes,DSL,Month-to-month,Credit card,13.93,549.67,No
CUST14,Male,0,No,Yes,33,Yes,No,Month-to-month,Bank transfer,67.79,2323.12,No
CUST15,Female,1,Yes,Yes,45,Yes,DSL,Month-to-month,Credit card,87.61,3796.67,Yes
CUST16,Male,1,Yes,Yes,28,Yes,No,Month-to-month,Bank transfer,29.58,862.89,No
CUST17,Female,0,No,Yes,15,Yes,DSL,One year,Mailed check,70.51,1172.78,No
CUST18,Female,0,Yes,No,4,Yes,No,One year,Mailed check,,101.71,No
CUST19,Female,0,No,Yes,4,Yes,Fiber optic,One year,Bank transfer,90.06,368.4,Yes
